date,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
2019-02-14 00:00:00+00:00,1705584,3810979,83234396.0,17390.0,50900,116099,4167348.0,10213409.0,47630097.0,6938644.0,11703773.0,4884989.0,9742013.0,19094014.0,85129,79685,7749.0,6725239
2019-02-15 00:00:00+00:00,1237639,4751072,97088659.0,16604.0,23807,52120,3610515.0,10183838.0,46880785.0,8234221.0,9593226.0,7647158.0,7356002.0,9344553.0,73915,25878,3462.0,8649069
2019-02-19 00:00:00+00:00,1555278,2744450,59120804.0,8158.0,105224,121036,4919423.0,8721631.0,23868332.0,6284092.0,7994791.0,12264493.0,8319114.0,14489396.0,58188,73780,25254.0,8170825
2019-02-20 00:00:00+00:00,1327711,2453981,76610767.0,72855.0,48135,53918,6601747.0,9935693.0,27509066.0,6959918.0,8911369.0,11309283.0,9852085.0,14358395.0,120913,40456,6546.0,10041521
2019-02-21 00:00:00+00:00,11460215,3197179,64214727.0,52526.0,46247,31763,2993430.0,11866116.0,46620034.0,8368479.0,6782680.0,8551895.0,9754061.0,19100276.0,158718,63691,5673.0,7636989
2019-02-22 00:00:00+00:00,6682751,3938538,78114616.0,75003.0,51490,56843,7108279.0,9948258.0,26343683.0,6488091.0,9816903.0,4790764.0,12246686.0,15247538.0,99954,33838,5924.0,4662114
2019-02-25 00:00:00+00:00,3848222,3585015,69030699.0,17992.0,199139,123324,3991446.0,15904458.0,33835895.0,7652584.0,10108504.0,6187927.0,20170501.0,13080110.0,121803,35232,17744.0,5676556
2019-02-26 00:00:00+00:00,2626659,3080247,56844101.0,11541.0,35111,175148,7175152.0,10550682.0,35659790.0,7288017.0,11731052.0,6192295.0,14133959.0,13702740.0,197079,13963,10137.0,8905255
2019-02-27 00:00:00+00:00,1928238,2777218,56921570.0,7803.0,27953,3118045,3102228.0,10294013.0,42542398.0,9827557.0,8033257.0,4631198.0,9777532.0,11956341.0,411632,40643,5919.0,11890366
2019-02-28 00:00:00+00:00,1539126,2772931,69268293.0,15799.0,292240,342442,4053410.0,11249407.0,39835922.0,9464107.0,8531259.0,8762524.0,9438331.0,12808086.0,530778,26012,8475.0,13598361
2019-03-01 00:00:00+00:00,1412657,3676922,78880548.0,24980.0,46584,1137201,4855991.0,20327998.0,82657330.0,10795155.0,12786614.0,9841530.0,12334027.0,13418045.0,332079,22587,12869.0,16198262
2019-03-04 00:00:00+00:00,1815204,4823948,106494637.0,59906.0,40191,170900,5658849.0,19780305.0,76611896.0,15208819.0,19150433.0,7960375.0,15826472.0,12337582.0,115926,19393,4095.0,7710632
2019-03-05 00:00:00+00:00,1079507,2107218,59114559.0,53548.0,41027,141864,5149252.0,15807549.0,39868099.0,13591690.0,13820552.0,5231730.0,8953880.0,12045578.0,148687,30482,5250.0,5404584
