date,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR,F,DIS,MCD,KO,PEP,JPM,AAPL,PFE,JNJ,ED
2011-09-19 00:00:00+00:00,23.4401957104,94.5506962395,102.370510572,73.1063388008,33.2346099234,54.3932170298,33.5429351921,53.7918093023,8.8121804528,28.6993724042,26.8524083145,28.7621383247,21.7736578296,25.4227850253,8.5603616104,16.4075773274,31.964330161,40.7387162373,7.2345638667,28.8005699375,70.0703591492,27.497678715,47.8548710344,25.9929484336,51.159986537,13.4300762487,50.4710066684,41.5527507261
2011-09-20 00:00:00+00:00,23.3761397921,94.6837257101,102.2513860481,73.1063388008,33.1869615576,53.4910198166,33.3649885864,53.4577998852,8.7841161839,28.9625889044,26.6573955607,28.4238597205,21.7212332923,25.7914492651,8.1806043486,16.3557639253,31.7061174619,40.6214192317,7.1521969157,28.6233901778,70.4648550345,27.5600936475,47.7205360266,25.8009414276,51.3861876776,13.5639308293,50.5339577213,42.1696911299
2011-09-21 00:00:00+00:00,22.6459023233,92.2476235294,99.2392373703,71.2905592624,31.935253176,51.5179903971,32.2884116213,51.2337859613,8.349120015,28.1817132871,25.5551495611,27.1384010244,21.3979486456,25.3174523854,7.8404051349,15.9844345437,30.6715509668,38.6786875775,6.8433208492,27.7109144154,69.052559765,27.0256657877,48.036618398,24.2728856718,51.2233725709,13.2664762058,49.6762496255,41.5600088485
2011-09-22 00:00:00+00:00,22.0138839292,89.021658867,96.0313841174,69.2965957505,30.032656436,48.1790175334,31.3186026197,48.3417532031,8.1105737289,27.61141087,24.5970434229,25.6161473054,20.7339045063,24.8885980657,7.5081175308,15.6303762961,29.7587991005,37.7036562189,6.6030839087,26.1783094941,67.845402356,26.4561295283,48.1393451687,23.4168544368,49.940737532,13.0062034103,48.7241149502,41.2987164422
2011-09-23 00:00:00+00:00,22.082210242,89.3376038597,96.6099889481,69.4747797239,30.7503025748,49.3425989859,31.7901611251,47.8203726495,8.1947665358,27.6201847534,24.8514078844,25.5738624798,20.9698149242,25.1368821455,7.650526504,15.6131051621,29.9012021172,38.003811925,6.7678178108,26.4263611577,68.9342109995,26.300092197,47.6810257302,23.6728637781,50.2489676576,12.976457948,48.464441857,41.1825864839
2011-09-26 00:00:00+00:00,22.4504813817,91.6573052536,98.907390482,70.96813112,31.2426412049,49.1318052445,32.5375368694,49.5637388755,8.5596020322,28.076426687,25.4788402227,26.3941880951,21.2319376108,25.3400236654,7.6900845521,15.9930701107,30.1448313748,38.4854355895,6.9188238877,26.8427335929,70.4885247876,26.8228172569,48.9058449194,25.3209239127,50.1085240923,13.2144216467,49.3300188345,41.2188770958
2011-09-27 00:00:00+00:00,22.8539119399,92.8795135149,100.0135467761,71.7148068181,32.5213030403,51.054244166,32.7599701267,50.2887837079,8.6016984356,28.5063469707,25.9282174379,26.943890827,21.5027977202,25.4303087853,7.816670306,16.2089592861,30.855988609,38.8929633056,6.946279538,27.6046065596,70.8041214958,27.1387928529,49.3325561209,25.2569215774,49.6225644991,13.1995489156,50.2192024568,41.0809727703
2011-09-28 00:00:00+00:00,22.3517696494,91.3164172351,97.9714120793,70.7475223911,31.0089889736,49.6883007218,32.1994383184,48.6431763356,8.3526280486,28.0150095037,25.2668698381,25.7523044436,21.1969879192,25.1745009455,7.5714104078,15.9671634097,30.1105173949,37.9223063818,6.8158651989,27.0021953767,69.4549455681,26.5497519271,48.9690613937,24.3768894667,49.3429202319,13.0582579694,49.7706762048,40.7253247728
2011-09-29 00:00:00+00:00,22.5363176707,92.6051402317,98.7457214852,71.5366228447,31.5096723263,49.8990944632,31.9325184097,49.1075308911,8.5876663012,28.1992610538,25.6314588995,25.7768296424,21.1533008048,25.5807839853,7.6426148944,16.2521371212,30.4622356892,38.4854355895,6.863912587,27.1527981724,70.046689396,26.9359443222,49.4510870102,25.1129163229,48.542516196,13.370585324,50.2821535097,41.5962994605
2011-09-30 00:00:00+00:00,21.9998408646,90.5681264629,96.2781420599,69.9159971819,30.0910694938,47.0575948292,31.0160933899,47.6655877976,8.2859754099,27.8395318369,24.775098546,24.825421068,20.6203180088,25.2948811054,7.3340621191,15.8203587705,29.4242377961,37.4703210967,6.6374034716,26.7187077612,69.2892572962,26.3547052629,48.9137469787,24.0968792496,47.3928675419,13.1474943565,50.1169069958,41.385813911
2011-10-03 00:00:00+00:00,21.3002751094,88.4313405912,93.5382780083,68.1341574478,29.6070755862,45.3881083973,30.1085657003,46.0444201388,7.9141238462,26.9533696196,24.0798356846,24.1277214468,20.1572345959,24.6929803058,6.9147468092,15.4403938218,28.5320743177,35.7068375252,6.431486094,25.691065155,67.8690721091,25.5199055403,47.6415154337,22.920836338,46.5576633306,12.8872215609,48.8500170561,40.9938753015
2011-10-04 00:00:00+00:00,21.8195846578,89.5620910914,95.5889215997,69.3135656527,30.1912061643,45.8349911291,31.0605800413,47.5515358015,8.229846872,27.2429077698,24.7496620998,25.0664445735,20.5678934715,24.5726001458,7.1046254401,15.7771809354,29.2269324115,37.0553837857,6.9188238877,26.4529381216,68.2320083236,25.4457878079,47.7679483823,24.4088906343,46.2966620145,13.0805670662,48.9208369906,40.9648428119
2011-10-05 00:00:00+00:00,22.2702251749,90.8591284299,97.3587716703,70.4250942487,30.8504392453,47.698407803,31.6300091799,49.3030485987,8.349120015,27.6816019368,25.2753486535,26.064366456,20.9960271929,24.5876476658,7.3182388999,15.8289943375,29.5692143613,36.7738191819,7.2482916919,27.9146711391,67.7191636727,25.5628158064,47.6415154337,24.8767411488,47.0113084751,13.370585324,49.0624768596,40.0285450226
2011-10-06 00:00:00+00:00,22.6736557331,92.3640243162,99.1201128463,71.5281378936,31.25933065,48.8704210052,32.3684875939,50.2317577098,8.6087145029,28.0150095037,25.7840775764,26.7240097342,21.3105744167,25.0240257456,7.6900845521,16.174417018,30.1671354618,37.7889336747,7.5434399331,28.3753385143,68.7290731391,25.5082027404,47.8627730937,26.1189649286,46.9019364951,13.5564944637,49.4244454138,40.7616153848
2011-10-07 00:00:00+00:00,22.510566784,92.3058239228,98.4564190698,71.1548000445,31.0924361991,48.5247192693,32.341795603,49.6126183024,8.3000075443,27.9886878536,25.7247258687,26.3180754092,21.2319376108,25.1293583855,7.3657085576,16.0189768118,29.7159066256,36.721952018,7.3375225555,28.0829919108,68.8000823984,25.7071503379,48.2183657616,24.7638117143,45.9610888939,13.712658141,49.6762496255,40.7253247728
2011-10-10 00:00:00+00:00,23.227299797,94.9580989932,101.7493612684,73.4966465521,32.5444179217,50.7001106805,33.4361672287,51.8610719398,8.727987646,28.6291813374,26.6234802992,27.425937838,21.8872443271,25.6184027852,7.5951452366,16.5457463997,30.8156696826,38.4928451843,7.69444601,29.2346603487,69.833661618,26.0972436662,48.8900408009,26.0544338232,48.3237722359,14.0696036891,50.6992042352,41.5309763589
2011-10-11 00:00:00+00:00,23.2315916114,94.7918121549,101.8514680033,73.5730111121,32.4843359194,51.374650653,33.5785245133,51.9669773647,8.7209715787,28.5853119207,26.6997896376,27.4597656984,21.9833559789,25.3851662254,7.4685594827,16.5025685646,30.8311109735,37.7815240799,7.7150377478,28.8891598173,70.4885247876,26.0582343334,48.1630513466,26.0544338232,49.7505794303,14.01754913,50.3293667994,41.1971027287
2011-10-12 00:00:00+00:00,23.5234349939,95.6066176625,102.7449019331,74.3451416635,33.4873715692,53.3476800724,33.8810337432,52.2439607838,8.9419776968,28.6028596874,27.0389422529,27.7303885818,22.0794676306,25.3249761454,7.6584381136,16.7235527245,31.4830765923,38.3965204514,7.811132524,29.9079434356,69.7153128524,26.3234977967,49.5459117216,26.7804087594,49.9867234782,13.9952400333,50.6205154191,41.0809727703
2011-10-13 00:00:00+00:00,23.4461823339,95.3322443793,102.5406884634,74.1245329345,32.8531726559,53.1790450793,33.8543417523,52.1706416435,8.7350037132,28.5765380374,26.8100142376,27.586620175,22.3241154714,25.3249761454,7.7138193809,16.761635575,31.1828292679,38.1297750373,7.7836768737,29.7219046879,70.4648550345,26.2922903304,49.2772417059,25.4897866505,50.7622702459,13.9506218398,50.5418266029,41.1245215047
2011-10-14 00:00:00+00:00,23.8367374487,96.7290538208,104.2935207449,75.4651552106,33.545784627,53.7102453076,34.4059762302,54.2561638578,8.8402447218,28.8485284209,27.2933067144,28.3139191741,22.7172995012,25.5657364653,7.8008470868,16.8911690802,31.5860185322,39.011516823,7.9346829506,30.5369315825,70.96191985,26.4678323282,49.1824169944,25.7237119078,52.448835893,14.1588400762,50.927401802,41.7704943981
2011-10-17 00:00:00+00:00,23.3217197148,94.7003543939,102.3024394155,74.0990780812,32.5110390316,52.3190066144,33.7030871374,53.2704287487,8.5666180995,28.3484170706,26.5132556992,27.3498251521,22.3590651629,25.4604038253,7.4899208287,16.4861609873,30.6766980638,38.1149558476,7.8248603492,29.5801608801,69.9520103836,26.1362529991,48.9058449194,25.0380689124,52.1990203476,13.8985672807,50.195595812,42.0753355388
2011-10-18 00:00:00+00:00,23.849612892,96.038963442,104.3020296394,75.4312154061,33.1786168351,52.6815718496,34.3881815697,54.9812086902,8.9735499993,28.5589902707,27.2763490836,28.0517532558,22.5600258893,25.6409740652,7.7533774291,16.753000008,31.4144486325,39.3745869701,8.0856890275,30.0674052193,70.7252223188,26.0348287337,49.3167520023,26.5142179494,52.4786646148,14.1067855171,50.6913353536,42.1116261508
2011-10-19 00:00:00+00:00,23.5745075859,95.5733602948,103.0682399268,74.4045363213,32.7446912628,51.1807204109,33.8721364129,54.4109487097,8.847260789,28.5063469707,26.9456752837,27.2398846057,22.123154745,25.6635453452,7.4606478731,16.4939329976,30.9855238833,38.8855537108,7.9346829506,29.7750586158,70.7094424834,26.1479557989,49.0796902237,26.0141018823,49.5430212409,13.9878036677,49.2906744264,42.0390449268
2011-10-20 00:00:00+00:00,23.6436057985,95.8893052875,103.519211339,74.7778741703,32.3524893032,50.2616596984,34.0411856884,54.8345704095,8.9805660666,28.4800253207,27.174603299,27.4935935589,22.0270430933,25.8064967851,7.5476755789,16.5630175337,30.7899341976,39.1226607456,8.0307777268,29.9788153394,70.2281575033,26.1830641985,49.087592283,26.7239440421,49.1316334522,13.928312743,49.2041167287,42.4527579034
2011-10-21 00:00:00+00:00,24.0727872434,98.1383514038,105.4847659847,75.8554629619,33.0951696096,51.5432856461,34.9843026991,55.8447452321,9.2120962855,29.0503277377,27.7002898527,28.220892558,22.3066406256,26.2428748649,7.6267916751,16.9343469153,31.5860185322,40.2785575403,8.4151568317,31.1482017534,72.839720264,26.6004640598,49.2140252316,26.9578692994,48.8283747802,14.1737128074,50.1877269303,43.3745394479
2011-10-24 00:00:00+00:00,24.4676341727,98.9960731004,106.7781179593,76.5766838066,34.3552227138,54.0896740421,35.5003478559,56.5779366355,9.4155622354,29.4890219047,28.217497591,28.8974497664,22.656137541,26.1300184649,7.8404051349,17.2106850598,32.2637196359,41.345539197,8.5867546463,31.3342405011,72.5951328152,26.4756341947,49.0717881644,27.8855039401,50.4316685789,14.3968037749,50.9352706836,43.0043752057
2011-10-25 00:00:00+00:00,23.9217153748,97.2556475218,104.7019476842,75.2106066772,33.7877815808,53.0778640834,34.7262801207,55.3966838188,9.1349195459,28.8923978376,27.640938145,28.1616938022,22.2979032027,25.8365918251,7.5856513051,16.8479912452,31.5422682077,40.7083140409,8.5318433456,30.5723675344,72.4057747902,26.1167483326,48.8505305044,27.0143340166,49.437377851,14.0324218612,50.1169069958,42.2277561091
2011-10-26 00:00:00+00:00,24.180511786,98.6046855301,105.7655595055,75.940312473,34.0548127022,54.7136235167,34.5928201663,56.5942297778,9.2962890924,29.2784487046,27.8359508988,28.6691117086,22.3940148545,25.941924465,7.7161928638,17.0466092865,32.0406787663,41.0862033777,8.1474642408,31.0507528856,72.4136647079,26.3195968634,49.0006696309,27.5709148011,49.789108196,14.3373128503,50.7464175249,42.6922759426
2011-10-27 00:00:00+00:00,24.9783600921,101.5442560049,109.4499108543,78.1888245183,35.2647974711,57.2094214148,35.535937177,59.103373692,9.8505584043,29.9891332551,29.0484214984,30.225193288,23.0580589937,26.5588727847,8.3151017122,17.6424634105,33.7049067933,42.582941535,8.2161033666,32.0252415639,73.7786204711,26.7486995246,49.2456334687,29.5794454581,50.2974393306,14.6236129253,51.3837969356,43.2874419792
2011-10-28 00:00:00+00:00,25.0942390822,101.627529956,109.4243841706,78.2193703423,35.631965263,57.8586661383,35.2601199381,59.5025556783,9.8575744715,30.0154549051,29.0484214984,30.4366174157,23.1366957997,26.3406837448,8.2913668833,17.4611165032,33.4732874287,42.9756500614,8.2366951044,32.0783954918,73.6050422816,26.8891331228,49.9410146859,29.5955782344,50.3297537793,14.7388765919,51.619863384,42.1261423955
2011-10-31 00:00:00+00:00,24.4933850594,99.3791332756,106.7866268539,76.3391051754,34.4637041069,55.1014840008,34.7173827904,56.7897474854,9.4681827397,29.445152488,28.3362010064,29.1342447894,22.7260369241,26.2203035849,7.7533774291,17.0034314514,32.2980336159,42.4125208537,8.0170499016,30.9001500898,73.2578859025,26.6511761925,49.7434632037,28.0387653156,50.3086251013,14.3224401191,50.6677287088,42.0027543148
2011-11-01 00:00:00+00:00,23.7603431515,96.9142243222,103.8085137544,74.2008974946,34.1716388178,54.3594900311,33.9700070461,54.9567689767,9.02266247,28.8836239543,27.4798406528,28.3562039996,22.0969424764,25.6710691052,7.4290014346,16.5371108327,31.3938602445,40.98246905,7.6052151464,29.7661996278,72.5162336381,26.1518567322,49.1745149352,26.3851557386,49.2807770614,14.3744946782,49.8729716658,41.4075882782
2011-11-02 00:00:00+00:00,24.1882370521,98.3715184669,105.5017837738,75.3633357972,35.1896949682,56.7119481851,34.3170029274,56.6105229201,9.2892730251,29.0766493878,28.0224848372,29.0581321034,22.3678025858,26.1224947049,7.5714104078,16.8307201111,31.7601619803,41.8123436718,7.6532625345,30.1825720631,73.0054085359,26.4366248619,49.3167520023,27.1353298393,49.3926347683,14.5232219899,50.0775625878,42.1116261508
2011-11-03 00:00:00+00:00,24.6435985651,100.0869618602,107.4247939466,76.8643236494,35.3315552514,57.6731676459,34.7618694418,58.1013454406,9.4506425716,29.392509188,28.7092688832,29.6501196608,22.9007853818,26.4384926248,7.6663497232,17.4093031011,32.5382314754,42.2865577415,7.7699490485,31.0330349096,73.3762346681,26.7799069908,49.6249323144,27.7322425647,50.0960954582,14.7834947854,50.6283843007,42.6414690858
2011-11-04 00:00:00+00:00,24.4809387975,99.5956455485,106.7696090647,76.0251619842,35.156316078,56.813129181,34.6284094875,58.0524660137,9.3208453277,29.1205188045,28.4888196832,29.58246394,22.7609866157,26.3181124648,7.6347032847,17.1208751628,32.1865131811,41.9679451634,7.7356294856,30.793842234,74.0153180023,26.4405257952,48.9848655123,27.4015206493,49.7443651133,14.6198947425,50.4552689052,42.5035647602
2011-11-07 00:00:00+00:00,24.6187060413,100.3034741331,107.4333028412,76.5851687577,35.3610955693,57.5298279017,34.8508427447,58.3701822885,9.373465832,29.4627002547,28.5566502063,29.8361728932,22.9007853818,26.4610639048,7.7320160831,17.1934139258,32.3151906058,42.0716794912,7.7013099226,31.1393427654,74.6544013365,26.6082659264,49.3878705359,27.6193131302,49.6809790794,14.9247857316,50.3608423258,42.8737290025
2011-11-08 00:00:00+00:00,24.9225665042,101.2527971759,108.8117437616,77.6627575492,35.6156096068,57.9345518852,35.1889412957,59.323331113,9.548867513,29.8224294716,28.8788451908,30.1913654276,23.1629080684,26.6341103847,7.6742613328,17.331582998,32.7003650306,42.5755319402,7.9690025135,31.2633685972,74.6386215011,26.7799069908,50.304509413,28.2484914083,50.4888402957,15.0809494089,51.0375661446,43.0769564296
2011-11-09 00:00:00+00:00,24.0041182122,98.005113082,104.7955455245,75.0663625082,33.7961263033,54.6377377698,33.9344177249,56.7001352028,9.0296785373,28.9625889044,27.7596415604,28.7198534992,22.3590651629,26.054780865,7.3115140317,16.6839154719,31.0284163582,40.6638564719,7.5777594961,29.9345203995,73.1000875484,26.1479557989,49.2140252316,26.2480271395,49.127904862,14.5251773689,49.99100489,42.2567885987
2011-11-10 00:00:00+00:00,24.2358761924,99.0044004955,105.7825772946,75.6518241351,33.8962629739,55.2110967464,34.2547216153,57.6858703119,9.0717749407,29.3749614213,28.0987941757,29.0665890685,22.428964546,26.2278273449,7.357796948,16.7875422761,31.3645217917,40.7009044461,7.5434399331,30.6875343782,73.5813725284,26.2883893971,49.751365263,26.4093549031,47.8775842718,14.8631468527,50.4552689052,42.7358246769
2011-11-11 00:00:00+00:00,24.6794352157,101.2028328053,107.773658624,76.9415367045,34.8475613439,56.0711352113,35.1177626534,58.8671231286,9.2857649915,29.8926205384,28.7686205908,29.743146277,22.8570982674,26.6040153447,7.5793220174,17.1329649566,31.8691088666,41.7530669131,7.6463986219,32.512485903,74.7648601844,26.5731575268,50.0042311602,26.8449398648,47.8030124672,15.0133555121,51.3444525275,43.2874419792
2011-11-14 00:00:00+00:00,24.4449304742,100.519986406,106.7525912756,76.313650322,34.4386699392,55.5989572305,34.859740075,58.0931988694,9.1012424231,29.6908212215,28.5905654678,29.4302385681,22.6823498097,26.2880174249,7.3894433865,16.8566268122,31.3732718565,40.9157826964,7.5640316709,31.9986645999,74.2125659449,26.4444267285,49.6249323144,26.2560935277,47.1368376795,14.8631468527,51.0769105527,42.8011477785
2011-11-15 00:00:00+00:00,24.604972235,100.6532247278,107.2801427389,76.7378978778,34.8308718988,56.273497203,34.9843026991,58.0280263002,9.1419356131,29.7610122883,28.7601417755,29.4894373238,22.9881596107,26.3331599848,7.3103272903,16.9170757813,31.4230271275,41.2714432486,7.4610729821,32.2910112034,74.5360525709,26.5263463274,50.968282393,26.3770893504,48.3262579627,14.9232303165,51.1398616056,43.0797915365
2011-11-16 00:00:00+00:00,24.1929580479,99.1792757929,105.5783638249,75.5584896729,33.821160471,54.2667407849,34.3259002576,57.1563431872,8.9174214614,29.1907098712,28.3362010064,28.7959661851,22.6474001181,26.017162065,7.2074763652,16.6234665028,31.0970443181,40.8787347222,7.2482916919,31.4759843088,73.4945834337,26.1401539323,51.4345038909,25.3849236042,47.8216554183,14.6979173273,50.6755975904,42.5078385595
2011-11-17 00:00:00+00:00,23.8152783765,98.1216966136,103.9021115946,74.455446028,33.1869615576,52.8080480945,33.7208817979,55.8528918032,8.7420197804,28.8836239543,27.8444297142,27.9756405699,22.2105289739,25.8817343851,7.1125370497,16.4766618636,30.8654249535,40.1451848332,6.980599101,31.1393427654,72.8160505109,25.9880175343,50.6442979623,24.5944175625,46.9069079487,14.6228129976,50.3136290362,42.3831821415
